KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
B7401,Tělesná výchova a sport,,Physical Education and Sport,,,
B7403,Kinantropologie,,Kinanthropology,,,
B7404,Rekreologie,,,,,
B7501,Pedagogika,,Education,,,
B7502,Sociální péče,,,,,
B7503,Učitelství pro základní školy,,,,,
B7504,Učitelství pro střední školy,,,,,
B7505,Vychovatelství,,Education,,,
B7506,Speciální pedagogika,,Special Education,,,
B7507,Specializace v pedagogice,,Technical Teacher Training,,,
B7508,Sociální práce,,Social Work,,,
B7531,Předškolní a mimoškolní pedagogika,,,,,
B7534,Učitelství pro střední školy (tříleté),,,,,
B7701,Psychologie,,Psychology,,,
B7702,Psychologie (kombinované),,,,,
B8101,Teorie a dějiny výtvarných umění,,,,,
B8102,Teorie a dějiny hudebního umění,,,,,
B8103,Teorie a dějiny tanečního umění,,,,,
B8104,"Teorie a dějiny divadla, filmu a masmédií",,,,,
B8106,Teorie a dějiny literatury,,,,,
B8109,Obecná teorie a dějiny umění a kultury,,Theory and History of Art and Culture,,,
B8110,Teorie a dějiny hudby,,,,,
B8201,Hudební umění,,,,,
B8202,Taneční umění,,,,,
B8203,Dramatická umění,,,,,
B8204,"Filmové, televizní a fotografické umění a nová média",,,,,
B8206,Výtvarná umění,,,,,
B8207,Literární tvorba,,,,,
B8208,Design,,,,,
B8209,Teorie a praxe audiovizuální tvorby,,,,,
B8212,Divadelní tvorba v netradičních prostorech,,,,,
B8213,Design nábytku,,,,,
B8214,Mediální tvorba,,,,,
B8216,Dramatická umění (čtyřleté),,,,,
B9101,Teorie obrany státu,,,,,
B9107,Vojenská geodézie a kartografie,,,,,
B9108,Vojenská logistika,,,,,
B9109,Teorie řízení a bojového použití jednotek pozemního vojska,,,,,
B9111,Ochrana vojsk a obyvatelstva,,,,,
B9115,Vojenské specializace,,,,,
B9116,Teorie řízení a použití jednotek a útvarů pozem. sil a sil územní obrany Armády ČR,,,,,
B9117,Teorie řízení a použití jednotek a útvarů pozemního vojska a sil územní obrany,,,,,
B9507,Vojenský zdravotnický management,,,,,
M1101,Matematika,,Mathematics,,,
M1103,Aplikovaná matematika,,,,,
M1201,Geologie,,Geology,,,
M1202,Aplikovaná geologie,,,,,
M1301,Geografie,,,,,
M1302,Kartografie,,,,,
M1303,Demografie,,Demography,,,
M1304,Geografie a kartografie,,,,,
M1305,Aplikovaná geografie,,,,,
M1311,Fyzická geografie,,,,,
M1312,Regionální geografie,,,,,
M1313,Sociální geografie,,,,,
M1401,Anorganická chemie,,Inorganic Chemistry,,,
M1402,Organická chemie,,Organic Chemistry,,,
M1403,Analytická chemie,,Analytical Chemistry,,,
M1404,Fyzikální chemie,,Physical Chemistry,,,
M1405,Makromolekulární chemie,,Macromolecular Chemistry,,,
M1406,Biochemie,,Biochemistry,,,
M1407,Chemie,,Chemistry,,,
M1408,Jaderná chemie,,,,,
M1409,Aplikovaná biochemie,,,,,
M1410,Biochemie (tříleté),,,,,
M1411,Chemie (tříleté),,,,,
M1412,Biochemie a patobiochemie,,Biochemistry and Pathobiochemistry,,,
M1501,Biologie,,Biology,,,
M1502,Zoologie,,Zoology,,,
M1504,Genetika,,,,,
M1507,Botanika,,Botany,,,
M1510,Mikrobiologie,,Microbiology,,,
M1511,Fyziologie a imunologie,,,,,
M1512,Antropologie,,Anthropology,,,
M1513,Biofyzika,,,,,
M1515,Molekulární a buněčná biologie,,,,,
M1516,Biologie a patologie buňky,,Cell Biology and Pathology,,,
M1517,Imunologie,,Immunology,,,
M1519,"Molekulární a buněčná biologie, genetika a virologie",,"Molecular and Cellular Biology, Genetics and Virology",,,
M1520,Vývojová biologie,,Developmental Biology,,,
M1521,Fyziologie živočichů,,Animal Physiology,,,
M1522,Parazitologie,,Parasitology,,,
M1523,Biologie člověka,,,,,
M1601,Ekologie a ochrana prostředí,,Ecology and Environmental Protection,,,
M1603,Ekologie,,,,,
M1604,Ochrana prostředí,,,,,
M1701,Fyzika,,Physics,,,
M1702,Aplikovaná fyzika,,,,,
M1801,Informatika,,Informatics,,,
M1802,Aplikovaná informatika,,Applied Informatics,,,
M1803,Informatika a druhý obor,,,,,
M1804,Biomedicínská informatika,,,,,
M2101,Hornictví a geologie,,,,,
M2102,Nerostné suroviny,,Mineral Raw Materials,,,
M2106,Metalurgie,,Metallurgy,,,
M2108,Metalurgická technologie,,,,,
M2109,Metalurgické inženýrství,,Metallurgical Engineering,,,
M2110,Geologické inženýrství,,,,,
M2111,Hornictví,,,,,
M2112,Řízení výrobních procesů,,,,,
M2301,Strojní inženýrství,,Mechanical engineering,,,
M2302,Stroje a zařízení,,Machines and equipment,,,
M2303,Strojírenská technologie,,Engineering technology,,,
M2304,Vojenská technika strojní,,,,,
M2305,Strojírenství se zaměřením na ekonomiku a řízení,,,,,
M2306,Letecká a raketová technika,,,,,
M2601,Slaboproudá elektrotechnika,,,,,
M2602,Elektrotechnologie,,,,,
M2608,Elektrotechnika se zaměřením na ekonomiku a řízení,,,,,
M2609,Elektrotechnická specializace,,,,,
M2611,Vojenská technika - elektrotechnická,,,,,
M2612,Elektrotechnika a informatika,,Electrical Engineering and Informatics,,,
M2642,Silnoproudá elektrotechnika,,,,,
M2643,"Elektrotechnika, elektronika, komunikační a řídicí technika",,,,,
M2644,Aplikovaná elektrotechnika,,,,,
M2645,"Elektrotechnika, sdělovací a výpočetní technika",,,,,
M2646,Informační technologie,,,,,
M2801,Chemie a chemické technologie,,,,,
M2802,Chemie a technická chemie,,,,,
M2804,Vojenská chemie,,,,,
M2805,Chemie a technologie ochrany životního prostředí,,,,,
M2806,Spotřební chemie,,,,,
M2807,Chemické a procesní inženýrství,,,,,
M2808,Chemie a technologie materiálů,,,,,
M2810,Biochemie a biotechnologie,,,,,
M2811,Chemie a technologie paliv,,,,,
M2901,Chemie a technologie potravin,,,,,
M3106,Textilní inženýrství,,Textile Engineering,,,
M3201,"Technologie a zařízení pro zpracování kůže, plastů a pryže",,,,,
M3301,Dřevařské inženýrství,,,,,
M3441,Polygrafie,,,,,
M3501,Architektura a urbanismus,,Architecture and Urbanism,,,
M3602,Geomatika,,,,,
M3606,Vojenské stavby,,,,,
M3607,Stavební inženýrství,,Civil Engineering,,,
M3608,Pozemní stavby a architektura,,,,,
M3646,Geodézie a kartografie,,,,,
M3647,Stavebnictví,,,,,
M3706,Dopravní a spojová infrastruktura,,,,,
M3707,Ekonomika a řízení v dopravě a spojích,,,,,
M3708,Dopravní inženýrství a spoje,,,,,
M3709,Dopravní technologie a spoje,,,,,
M3710,Technika a technologie v dopravě a spojích,,,,,
M3711,Automatizace a řízení v dopravě a spojích,,,,,
M3901,Aplikované vědy v inženýrství,,,,,
M3902,Inženýrská informatika,,Computer Science and Engineering,,,
M3903,Kybernetika a řídící technika,,,,,
M3904,Inženýrská ekologie,,,,,
M3906,Speciální technologie,,,,,
M3907,Energetika,,,,,
M3908,Požární ochrana a průmyslová bezpečnost,,,,,
M3909,Procesní inženýrství,,Process Engineering,,,
M3910,Fyzikální a materiálové inženýrství,,,,,
M3911,Materiálové vědy,,,,,
M3912,Speciální chemicko-biologické obory,,Special Chemical and Biological Programmes,,,
M3913,Aplikace přírodních věd,,,,,
M3914,Krajinné inženýrství,,Landscape Engineering,,,
M3916,Biomedicínské inženýrství - bionika,,,,,
M3917,Soudní inženýrství,,,,,
M3918,Aplikované vědy a informatika,,Applied Sciences and Computer Engineering,,,
M3919,Biomechanika,,Biomechanics,,,
M3926,Vojenské technologie,,Military Technology,,,
M3942,Nanotechnologie,,,,,
M4101,Zemědělské inženýrství,,Agricultural Engineering,,,
M4102,Fytotechnika,,Crop Science,,,
M4103,Zootechnika,,"Animal Science, Animal Breeding",,,
M4106,Zemědělská specializace,,Agricultural Specialization,,,
M4107,Lesní inženýrství,,Forestry Engineering,,,
M4108,Zahradnické inženýrství,,Hortical Engineering,,,
M4109,Zahradní a krajinářská architektura,,,,,
M4145,Kvalita a zpracování zemědělských produktů,,,,,
M4146,Hodnocení a ochrana půdy,,,,,
M4147,Udržitelné využívání přírodních zdrojů,,Sustainable Use of Natural Resources,,,
M4148,"Zemědělství, zahradnictví a rozvoj venkova",,,,,
M4149,Rozvoj venkova a zemědělství,,,,,
M4150,Genové technologie a šlechtění,,,,,
M4151,Péče o biosféru,,,,,
M4152,Rostlinolékařství,,,,,
M4153,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,,
M4301,Veterinární lékařství,,,,,
M4302,Veterinární hygiena a ekologie,,Veterinary Hygiene and Ecology,,,
M5103,Všeobecné lékařství,,General medicine,,,
M5104,Stomatologie,,Dentistry,,,
M5105,Experimentální chirurgie,,Experimental Surgery,,,
M5106,Fyziologie a patofyziologie člověka,,Human Physiology and Pathophysiology,,,
M5107,Gerontologie,,Gerontologogy,,,
M5108,Neurovědy,,Neurosciences,,,
M5109,Preventivní medicína,,Preventive Medicine,,,
M5111,Zubní lékařství,,Dentistry,,,
M5133,Vojenské všeobecné lékařství,,,,,
M5134,Vojenské zubní lékařství,,,,,
M5206,Farmacie,,Pharmacy,,,
M5207,Zdravotnická bioanalytika,,,,,
M5208,Farmakologie a toxikologie,,Pharmacology and Toxicology,,,
M5209,Vojenská farmacie,,,,,
M5341,Ošetřovatelství,,Nursing,,,
M5342,Rehabilitace,,,,,
M5345,Specializace ve zdravotnictví,,,,,
M5346,Ekonomika a řízení zdravotnictví,,,,,
M5347,Veřejné zdravotnictví,,,,,
M5348,Specializace ve zdravotnictví (kombinované),,,,,
M6101,Filozofie,,Philosophie,,,
M6107,Humanitní studia,,Humanities,,,
M6141,Teologie,,Theology,,,
M6142,Logika,,Logic,,,
M6143,Humanitní studia (tříleté),,,,,
M6201,Ekonomické teorie,,Economics,,,
M6202,Hospodářská politika a správa,,Economic Policy and Administration,,,
M6207,Kvantitativní metody v ekonomice,,,,,
M6208,Ekonomika a management,,Economics and Management,,,
M6209,Systémové inženýrství a informatika,,Engineering and Informatics,,,
M6210,Mezinárodní ekonomické vztahy,,International Economic Relations,,,
M6217,Finance a účetnictví,,,,,
M6501,Řízení cestovního ruchu,,,,,
M6701,Politologie,,Political Science,,,
M6702,Mezinárodní teritoriální studia,,International Territorial Studies,,,
M6703,Sociologie,,Sociology,,,
M6731,Sociální politika a sociální práce,,Social Policy and Social Work,,,
M6732,Politologie (kombinované),,,,,
M6733,Sociologie (kombinované),,,,,
M6734,Sociální politika a sociální práce (kombinované),,,,,
M6735,Mezinárodní teritoriální studia (kombinované),,,,,
M6740,Applied Sociology and Public Policy,,Applied Sociology and Public Policy,,,
M6801,Teoretické právní vědy,,,,,
M6804,Právní specializace,,,,,
M6805,Právo a právní věda,,Law and Jurisprudence,,,
M6806,Bezpečnostně právní studia,,,,,
M7105,Historické vědy,,History,,,
M7203,Mediální a komunikační studia (kombinované),,,,,
M7310,Filologie,,Philology,,,
M7311,Anglistika - amerikanistika,,English and American Studies,,,
M7312,Čeština v komunikaci neslyšících,,Deaf Studies,,,
M7313,Překladatelství a tlumočnictví,,Translation and Interpreting,,,
M7401,Tělesná výchova a sport,,Physical Education and Sport,,,
M7403,Kinantropologie,,Kinanthropology,,,
M7201,Informační studia a knihovnictví,,,,,
M7202,Mediální a komunikační studia,,Media and Communication Studies,,,
M7501,Pedagogika,,Pedagogy,,,
M7502,Sociální péče,,,,,
M7503,Učitelství pro základní školy,,Teacher Training for Primary Schools,,,
M7504,Učitelství pro střední školy,,Teacher Training for Secondary Schools,,,
M7505,Vychovatelství,,,,,
M7506,Speciální pedagogika,,Special Education,,,
M7507,Specializace v pedagogice,,Specialization in Education,,,
M7531,Předškolní a mimoškolní pedagogika,,,,,
M7532,Učitelství pro základní školy (čtyřleté),,,,,
M7533,Učitelství pro základní školy (pětileté),,,,,
M7534,Učitelství pro střední školy (tříleté),,,,,
M7701,Psychologie,,Psychology,,,
M7702,Psychologie (kombinované),,,,,
M8101,Teorie a dějiny výtvarných umění,,,,,
M8102,Teorie a dějiny hudebního umění,,,,,
M8103,Teorie a dějiny tanečního umění,,,,,
M8104,"Teorie a dějiny divadla, filmu a masmédií",,,,,
M8106,Teorie a dějiny literatury,,,,,
M8109,Obecná teorie a dějiny umění a kultury,,Theory and History of Art and Culture,,,
M8110,Teorie a dějiny hudby,,,,,
M8201,Hudební umění,,,,,
M8202,Taneční umění,,,,,
M8203,Dramatická umění,,,,,
M8204,"Filmové, televizní a fotografické umění a nová média",,,,,
M8206,Výtvarná umění,,,,,
M8207,Literární tvorba,,,,,
M8216,Dramatická umění (čtyřleté),,,,,
M9101,Teorie obrany státu,,,,,
M9107,Vojenská geodézie a kartografie,,,,,
M9108,Vojenská logistika,,,,,
M9109,Teorie řízení a bojového použití jednotek pozemního vojska,,,,,
M9111,Ochrana vojsk a obyvatelstva,,,,,
M9115,Vojenské specializace,,,,,
M9116,Teorie řízení a použití jednotek a útvarů pozem. sil a sil územní obrany Armády ČR,,,,,
M9117,Teorie řízení a použití jednotek a útvarů pozemního vojska a sil územní obrany,,,,,
M9507,Vojenský zdravotnický management,,,,,
N1101,Matematika,,Mathematics,,,
N1103,Aplikovaná matematika,,,,,
N1201,Geologie,,Geology,,,
N1202,Aplikovaná geologie,,,,,
N1301,Geografie,,Geography,,,
N1302,Kartografie,,,,,
N1303,Demografie,,Demography,,,
N1304,Geografie a kartografie,,,,,
N1305,Aplikovaná geografie,,,,,
N1401,Anorganická chemie,,Inorganic Chemistry,,,
N1402,Organická chemie,,Organic Chemistry,,,
N1403,Analytická chemie,,Analytical Chemistry,,,
N1404,Fyzikální chemie,,Physical Chemistry,,,
N1405,Makromolekulární chemie,,Macromolecular Chemistry,,,
N1406,Biochemie,,Biochemistry,,,
N1407,Chemie,,Chemistry,,,
N1408,Jaderná chemie,,,,,
N1409,Aplikovaná biochemie,,,,,
N1410,Biochemie (tříleté),,,,,
N1411,Chemie (tříleté),,,,,
N1412,Biochemie a patobiochemie,,Biochemistry and Pathobiochemistry,,,
N1413,Klinická a toxikologická analýza,,Clinical and Toxicological Analysis,,,
N1501,Biologie,,Biology,,,
N1502,Zoologie,,Zoology,,,
N1504,Genetika,,,,,
N1507,Botanika,,Botany,,,
N1511,Fyziologie a imunologie,,,,,
N1512,Antropologie,,Anthropology,,,
N1513,Biofyzika,,,,,
N1514,Ekologie,,Ecology,,,
N1515,Molekulární a buněčná biologie,,,,,
N1516,Biologie a patologie buňky,,Cell Biology and Pathology,,,
N1517,Imunologie,,Immunology,,,
N1519,"Molekulární a buněčná biologie, genetika a virologie",,"Molecular and Cellular Biology, Genetics and Virology",,,
N1520,Vývojová biologie,,Developmental Biology,,,
N1521,Fyziologie živočichů,,Animal Physiology,,,
N1522,Parazitologie,,Parasitology,,,
N1523,Biologie člověka,,,,,
N1530,Experimentální biologie,,,,,
N1531,Ekologická a evoluční biologie,,,,,
N1601,Ekologie a ochrana prostředí,,Ecology and Environmental Protection,,,
N1603,Ekologie,,,,,
N1604,Ochrana prostředí,,,,,
N1701,Fyzika,,Physics,,,
N1702,Aplikovaná fyzika,,,,,
N1801,Informatika,,Informatics,,,
N1802,Aplikovaná informatika,,Applied Informatics,,,
N1803,Informatika a druhý obor,,,,,
N1804,Biomedicínská informatika,,,,,
N1806,Otevřená informatika,,Open Informatics,,,
N2101,Hornictví a geologie,,,,,
N2102,Nerostné suroviny,,Mineral Raw Materials,,,
N2106,Metalurgie,,Metallurgy,,,
N2108,Metalurgická technologie,,,,,
N2109,Metalurgické inženýrství,,Metallurgical Engineering,,,
N2110,Geologické inženýrství,,,,,
N2111,Hornictví,,,,,
N2112,Řízení výrobních procesů,,,,,
N2301,Strojní inženýrství,,Mechanical engineering,,,
N2302,Stroje a zařízení,,Machines and equipment,,,
N2303,Strojírenská technologie,,Engineering technology,,,
N2304,Vojenská technika strojní,,,,,
N2305,Strojírenství se zaměřením na ekonomiku a řízení,,,,,
N2306,Letecká a raketová technika,,,,,
N2307,Master of Automotive Engineering,,Master of Automotive Engineering,,,
N2341,Strojírenství,,Engineering,,,
N2344,Výrobní systémy,,,,,
N2345,Industrial Engineering,,Industrial Engineering,,,
N2601,Slaboproudá elektrotechnika,,,,,
N2602,Elektrotechnologie,,,,,
N2608,Elektrotechnika se zaměřením na ekonomiku a řízení,,,,,
N2609,Elektrotechnická specializace,,,,,
N2611,Vojenská technika - elektrotechnická,,,,,
N2612,Elektrotechnika a informatika,,Electrical Engineering and Informatics,,,
N2642,Silnoproudá elektrotechnika,,,,,
N2643,"Elektrotechnika, elektronika, komunikační a řídicí technika",,,,,
N2644,Aplikovaná elektrotechnika,,,,,
N2645,"Elektrotechnika, sdělovací a výpočetní technika",,,,,
N2646,Informační technologie,,,,,
N2647,Informační a komunikační technologie,,Information and Communication Technology,,,
N2649,Elektrotechnika,,Electrical Engineering,,,
N2652,"Elektrotechnika, energetika a management",,"Electrical Engineering, Power Engineering and Management",,,
N2653,"Komunikace, multimédia a elektronika",,"Communications, Multimedia and Electronics",,,
N2654,Kybernetika a robotika,,Cybernetics and Robotics,,,
N2656,Otevřené elektronické systémy,,Open Electronic Systems,,,
N2658,Výpočetní vědy,,Computational Sciences,,,
N2801,Chemie a chemické technologie,,Chemistry and Chemical Technologies,,,
N2802,Chemie a technická chemie,,,,,
N2804,Vojenská chemie,,,,,
N2805,Chemie a technologie ochrany životního prostředí,,Environmental Chemistry and Technology,,,
N2806,Spotřební chemie,,,,,
N2807,Chemické a procesní inženýrství,,,,,
N2808,Chemie a technologie materiálů,,,,,
N2810,Biochemie a biotechnologie,,Biochemistry and Biotechnology,,,
N2811,Chemie a technologie paliv,,,,,
N2812,Biotechnologie odpadů,,,,,
N2813,Chemie materiálů a materiálové inženýrství,,Chemistry of Materials and Material Engineering,,,
N2814,Technologie pro ochranu životního prostředí,,Enviromental Technology,,,
N2816,Technická fyzikální a analytická chemie,,,,,
N2817,Ekonomika a management chemických a potravinářských podniků,,Economics and Management of Chemical and Food Enterprises,,,
N2818,Procesní inženýrství a informatika,,Process Engineering and Informatics,,,
N2820,"Chemie, technologie a vlastnosti materiálů",,,,,
N2824,Syntéza a výroba léčiv,,Synthesis and Production of Drugs,,,
N2825,Ochrana obyvatelstva,,,,,
N2826,Technologie odpadů,,,,,
N2827,"Anorganická, organická a makromolekulární chemie",,"Inorganic,  Organic and Macromolecular Chemistry",,,
N2828,Konzervování - restaurování objektů kulturního dědictví,,Conservation and Restoration of Cultural Heritage Objects,,,
N2838,Klinická bioanalytika,,Clinical Bioanalytics,,,
N2841,Forenzní analýza,,Forensic  Analysis,,,
N2842,Environmental technology and Engineering,,Environmental Technology and Engineering,,,
N2843,Chemistry and Technology,,Chemistry and Technology,,,
N2844,Analytická a fyzikální chemie,,Analytical and  Physical Chemistry,,,
N2845,Chemická informatika a bioinformatika,,Chemical Informatics and Bioinformatics,,,
N2846,Chemie pro medicínské aplikace,,,,,
N2901,Chemie a technologie potravin,,,,,
N2903,Chemie a analýza potravin,,Food Chemistry and Analysis,,,
N2904,Technologie potravin,,Food Technology,,,
N3106,Textilní inženýrství,,Textile Engineering,,,
N3108,Průmyslový management,,Industrial Management,,,
N3201,"Technologie a zařízení pro zpracování kůže, plastů a pryže",,,,,
N3301,Dřevařské inženýrství,,,,,
B0721A130001,Technologie potravin,,Food Technology,2018-10-12 22:00:00,,
B0214A13A1038,Konzervování-restaurování uměleckořemeslných děl,,Conservation-Restoration of Works of Arts and Crafts,2019-01-04 23:00:00,,
N0711A130003,Chemie a technologie materiálů,,Chemistry and Technology of Materials,2018-10-12 22:00:00,,
N0711A13A1028,Syntéza a výroba léčiv,,Synthesis and Manufacturing of Pharmaceuticals,2018-10-26 22:00:00,,
N0531A130009,Chemie,,Chemistry,2018-10-12 22:00:00,,
N0711A13A1030,Technologie konzervování-restaurování objektů kulturního dědictví,,Technology of Conservation-Restoration of Cultural Heritage Objects,2018-10-26 22:00:00,,
N0688A03A1036,Bioinformatika a chemická informatika,,Bioinformatics and Chemical Informatics,2019-01-04 23:00:00,,
N0711A130004,"Chemistry, Technology and Materials",,"Chemistry, Technology and Materials",2018-10-12 22:00:00,,
N0711A130007,Membrane Materials and Process Engineering,,Membrane Materials and Process Engineering,2018-10-26 22:00:00,,
N0711A130006,Energie a paliva,,Energy and Fuels,2018-10-12 22:00:00,,
N0712A130002,Technologie vody,,Water Technology,2018-10-12 22:00:00,,
N0712A130003,Environmentální inženýrství a analýza,,Environmental Engeneering and Analysis,2018-10-12 22:00:00,,
N0712A130001,Průmyslová ekologie a toxikologie,,Industrial Ecology and Toxicology,2018-10-12 22:00:00,,
N0512A130003,Biochemie a buněčná biologie,,Biochemistry and Cell Biology,2018-10-12 22:00:00,,
N0512A130002,Přírodní látky a léčiva,,Natural Compounds and Pharmaceuticals,2018-10-12 22:00:00,,
B0588A140001,Bioinformatika a chemická informatika,,Bioinformatics and Chemical Informatics,2018-12-27 23:00:00,,
N0712A13A1039,Environmental Technology and Engineering (IMETE),,Environmental Technology and Engineering (IMETE),2016-07-28 22:00:00,,
B0711A130005,Chemie a chemické technologie,,Chemistry and Chemical Technologies,2018-10-12 22:00:00,,
B0711A130006,Chemie a technologie materiálů,,Chemistry and Technology of Materials,2018-10-12 22:00:00,,
B0711A13A1022,Technologie konzervování-restaurování objektů kulturního dědictví,,Technology of Conservation-Restoration of Cultural Heritage Objects,2018-10-26 22:00:00,,
B0711A13A1033,Syntéza a výroba léčiv,,Synthesis and Manufacturing of Pharmaceuticals,2018-10-26 22:00:00,,
B0711A130008,Chemie biomateriálů pro medicínské využití,,Chemistry of Biomaterials for medical applications,2018-10-26 22:00:00,,
B0712A130002,Voda a prostředí,,Water and Environment,2018-10-12 22:00:00,,
B0711A130007,Energie a paliva,,Energy and Fuels,2018-10-12 22:00:00,,
B0712A130003,Ekotoxikologie a environmentální analýza,,Ecotoxicology and Environmental Analysis,2018-10-12 22:00:00,,
B0512A130002,Biochemie a biotechnologie,,Biochemistry and Biotechnology,2018-10-12 22:00:00,,
B0512A130003,Forenzní analýza a analýza potravin,,Forensic Analysis and Food Analysis,2018-10-12 22:00:00,,
B0531A130008,Chemie,,Chemistry,2018-10-12 22:00:00,,
B0711A13A1032,Chemické inženýrství a bioinženýrství,,Chemical Engineering and Bioengineering,2018-10-12 22:00:00,,
B0531A130010,Analytická a forenzní chemie,,Analytical and Forensic Chemistry,2018-10-12 22:00:00,,
B0711A130003,Nano a mikrotechnologie v chemickém inženýrství,,Nano and Microtechnology in Chemical Engineering,2018-10-12 22:00:00,,
B0531A130009,Fyzikální a výpočetní chemie,,Physical and Computational Chemistry,2018-10-12 22:00:00,,
N0711A130002,Chemické technologie,,Chemical Technologies,2018-10-12 22:00:00,,
N0511A130001,Mikrobiologie a genové inženýrství,,Microbiology and Genetic Engineering,2018-10-12 22:00:00,,
N0711A130005,Biotechnologie a bioinženýrství,,Biotechnology and Bioengineering,2018-10-12 22:00:00,,
N0512A130004,Forenzní analýza,,Forensic Analysis,2018-10-12 22:00:00,,
N0531A130010,Chemie a analýza potravin a přírodních produktů,,Chemistry and Analysis of Food and Natural Products,2018-10-12 22:00:00,,
N0721A210001,Technologie potravin,,Food Technology,2018-08-15 22:00:00,,
N0711A130001,Chemické inženýrství a bioinženýrství,,Chemical Engineering and Bioengineering,2018-10-12 22:00:00,,
N0531A130008,Analytická chemie,,Analytical Chemistry,2018-10-12 22:00:00,,
N0531A130007,Fyzikální chemie,,Physical Chemistry,2018-10-12 22:00:00,,
P9999D03A1010,Bioinformatics,,,2019-01-04 00:00:00,,
P9999D03A1025,Bioinformatika,,,2019-01-04 00:00:00,,
N0714A15A1044,Senzorika a kybernetika v chemii,,Sensorics and Cybernetics in Chemistry,2019-03-07 23:00:00,,
